.geo,LST,NDVI,NDBI,Albedo,Elevation,Population,LULC,AirTemp,dewPoint,WindSpeed,Rainfall,WaterDistance,BuiltupDensity
"{""type"":""Point"",""coordinates"":[77.3734191224705,28.94451679825613]}",36.21324434000002,0.36715589968796947,-0.015645409422077733,13393.25,222,6.782458305358887,40,29.19933586260339,,1.067523422834954,841.1864972691983,580,2
"{""type"":""Point"",""coordinates"":[77.04128095341734,28.859137367711455]}",38.18031485000006,0.20498061787853872,-0.006930959280614227,13749.416666666666,215,10.485221862792969,40,29.465502801133596,,0.9228106294692979,741.6688812430948,74,2
"{""type"":""Point"",""coordinates"":[77.3298447751021,28.687929292593168]}",40.13713130000002,0.19387755102040816,-0.03671851379043908,12771.833333333334,207,366.8030090332031,50,29.39054268637858,,0.9437775457285515,765.949471032247,293,6
"{""type"":""Point"",""coordinates"":[77.22251898696564,28.968713037734467]}",36.67638605000002,0.17886353852776582,0.010782907095419113,14026.833333333334,222,27.073957443237305,40,29.30278888744317,,1.0734279896667425,861.278739057947,404,2
"{""type"":""Point"",""coordinates"":[76.90217805070264,28.647890600940045]}",41.365909490000035,0.1568186464935596,0.026618896751843188,14038.0,214,2.8735108375549316,40,29.71709552806817,,0.7234705111502765,606.8192101530731,765,2
"{""type"":""Point"",""coordinates"":[77.24556321853382,28.840444854591915]}",36.74474644999998,0.20106288751107174,-0.044596500705260944,13655.083333333334,209,2.441077709197998,40,29.43734524905028,,0.983077625890405,859.2264043786563,676,2
"{""type"":""Point"",""coordinates"":[77.05288033746992,28.86760854879933]}",38.99722163000001,0.32753125766119146,-0.017794223879936902,13502.75,213,7.561553001403809,40,29.454567447424836,,0.9802558352608557,756.6111499844119,65,2
"{""type"":""Point"",""coordinates"":[77.2075758561876,28.7774849070433]}",36.601189610000006,0.39846547314578007,-0.06676258992805756,12663.166666666666,211,10.16779613494873,40,29.43734524905028,,0.983077625890405,829.3012994048186,61,2
"{""type"":""Point"",""coordinates"":[76.86417424914927,28.42209325225275]}",41.88544853000002,0.26898138464756327,0.02979195711907308,14902.75,219,4.35231876373291,60,29.656255326602945,,0.6412298160076573,548.743332944701,26,2
"{""type"":""Point"",""coordinates"":[77.27996259272184,28.85450444010032]}",36.82506992000003,0.5640050697084917,-0.07439837804483883,13019.666666666666,219,3.068934440612793,40,29.291456469860748,,1.0561950488680893,827.8980822814628,4149,2
"{""type"":""Point"",""coordinates"":[77.23932648319435,28.773473288285548]}",37.69666502000001,0.4014251781472684,-0.064878864373996,12330.416666666666,207,12.376681327819824,40,29.43734524905028,,0.983077625890405,829.3012994048186,164,5
"{""type"":""Point"",""coordinates"":[76.89837577675867,28.479777896507866]}",48.56255060000001,0.14587146086769298,0.0640896621127945,15151.75,218,6.694161415100098,40,29.777565494299836,,0.6778136236904126,583.1291668582066,1721,2
"{""type"":""Point"",""coordinates"":[77.08978641612133,28.541550559396132]}",43.86106409000001,0.28471720818291213,-0.034496032216036955,13037.083333333334,231,32.51740264892578,30,29.417867656330486,,0.748679270676576,656.7247385233641,709,6
"{""type"":""Point"",""coordinates"":[76.9398822038752,28.59101906729862]}",47.99003225000001,0.1696994479656512,0.04343466696375106,15107.166666666666,210,18.56916618347168,40,29.71709552806817,,0.7234705111502765,594.8005388118327,272,2
"{""type"":""Point"",""coordinates"":[76.97112481090194,28.51209986526052]}",38.311908620000054,0.24533045977011494,-0.027965254823583672,13441.833333333334,210,14.412999153137207,50,29.627155194963734,,0.7123027819450746,634.1729851961136,180,2
"{""type"":""Point"",""coordinates"":[77.05078775786433,28.62149657629873]}",41.39325365000002,0.06285155294693079,0.019743812000385243,14021.0,215,315.36859130859375,50,29.48856291159609,,0.800208678714508,672.7797542698681,2353,5
"{""type"":""Point"",""coordinates"":[77.3956559627559,28.515475631381324]}",37.970106620000024,0.37561241154055525,-0.10580066736324109,11773.0,208,18.537330627441406,50,29.443236818418427,,0.8661547304951221,681.69528093189,6824,3
"{""type"":""Point"",""coordinates"":[77.1108617477017,28.706158881926296]}",40.492605379999986,0.05263157894736842,0.005118524703234472,12412.75,216,293.0408020019531,50,29.506095427907894,,0.8656984199962716,724.9800134077668,313,5
"{""type"":""Point"",""coordinates"":[77.26139435673787,28.56489300877875]}",38.20595000000003,0.4777746715124406,-0.06267787839586028,12714.833333333334,211,159.50457763671875,10,29.38691187708372,,0.8781144679887717,674.5527358688414,1213,2
"{""type"":""Point"",""coordinates"":[77.30015739453485,28.93416775132842]}",37.124146670000016,0.5104608231915766,-0.09394024538728107,12338.333333333334,221,1.6026948690414429,40,29.291456469860748,,1.0561950488680893,807.732822407037,257,2
"{""type"":""Point"",""coordinates"":[77.24578067289508,28.48331770324211]}",40.07560694000006,0.335656836461126,-0.05374823196605375,13647.833333333334,262,21.702911376953125,20,29.297527791117602,,0.7866243703188661,692.7388915917836,149,2
"{""type"":""Point"",""coordinates"":[77.35004291920598,28.62865255140535]}",39.62442829999998,0.041893362350380846,0.013682577976908496,13159.833333333334,204,166.45758056640625,50,29.380609829521916,,0.9157010326165149,742.9393150918186,2740,5
"{""type"":""Point"",""coordinates"":[76.86066116611727,28.580271434413486]}",45.814462520000006,0.1511871893981226,0.021004189037701338,14259.0,215,55.761566162109375,40,29.71709552806817,,0.7234705111502765,578.9624209441245,1061,2
"{""type"":""Point"",""coordinates"":[77.23587720243006,28.873806322984358]}",37.888074140000015,0.1980952380952381,-0.018637695934752136,13086.333333333334,214,2.5951929092407227,40,29.395102660909288,,1.029567273669195,858.6215488398448,850,2
"{""type"":""Point"",""coordinates"":[76.81705303205504,28.96169944544025]}",38.52382585999999,0.31923764145324596,0.0036148109551568048,12663.833333333334,219,1.9971712827682495,40,29.493864250881813,,0.9195662310315098,599.0844122972339,1693,2
"{""type"":""Point"",""coordinates"":[77.36157481792338,28.539227037162657]}",43.14157088000002,0.14285714285714285,0.028504017344726438,13452.5,197,35.02684020996094,40,29.443236818418427,,0.8661547304951221,681.69528093189,2594,2
